Target, LastValue, ForcastLower1, ForcastFit1, ForcastUpper1, ForcastLower5, ForcastFit5, ForcastUpper5, Diff1, Diff5, Day1Perc, Day5Perc
AMX , 16.99 , 14.082493670567 , 16.0863393898135 , 18.0901851090601 , 12.7832067713177 , 15.2699139125942 , 17.7566210538708 , -0.903660610186488 , -1.72008608740576 , -5.31877934188634 , -10.1241088134535
APH , 93.959999 , 87.9645906969922 , 90.626318613012 , 93.2880465290318 , 89.9813084314507 , 93.2844259086736 , 96.5875433858965 , -3.33368038698801 , -0.675573091326427 , -3.54797831254554 , -0.719000743418939
BITA , 24.700001 , 18.3358645519621 , 24.4583390167156 , 30.580813481469 , 18.0950058551835 , 25.6927968565337 , 33.290587857884 , -0.24166198328443 , 0.992795856533732 , -0.978388556682368 , 4.01941626048409
CHL , 44.630001 , 38.6356748061071 , 43.3205267099746 , 48.0053786138421 , 38.3474763665769 , 44.1612246872564 , 49.9749730079358 , -1.30947429002541 , -0.468776312743643 , -2.93406735533214 , -1.05036142110694
CRM , 143.910004 , 139.176254946802 , 143.540651499982 , 147.905048053161 , 130.642610920115 , 136.058684608779 , 141.474758297444 , -0.369352500018067 , -7.85131939122061 , -0.256655194046181 , -5.45571480299633
CTL , 18.370001 , 14.9971531432411 , 17.5344923292638 , 20.0718315152865 , 12.6681468052003 , 15.8169019279729 , 18.9656570507455 , -0.835508670736214 , -2.55309907202713 , -4.54822332745771 , -13.898197784677
DNB , 125.970001 , 117.804067196689 , 124.503627716877 , 131.203188237064 , 111.259967526534 , 119.573903489244 , 127.887839451954 , -1.46637328312332 , -6.39609751075599 , -1.16406546914556 , -5.07747674841726
FIS , 107.440002 , 104.316764626875 , 107.631231594837 , 110.945698562798 , 101.673720510044 , 105.786865848326 , 109.900011186608 , 0.191229594836528 , -1.65313615167398 , 0.177987333652999 , -1.53865982958003
GDDY , 76.809998 , 74.0869348881022 , 78.4835459995112 , 82.8801571109202 , 68.9812011251011 , 74.4372520291934 , 79.8933029332856 , 1.67354799951123 , -2.3727459708066 , 2.17881531452615 , -3.08911083529335
GIB , 63.860001 , 61.4809280632667 , 63.5808684869192 , 65.6808089105717 , 58.5252305784932 , 61.1311881118483 , 63.7371456452034 , -0.279132513080796 , -2.72881288815169 , -0.437100702646084 , -4.27311751553479
